"","product_code","station_number","year","month","mean_max","quality"
"355","IDCJAC0002","040214",1916,"July",19.5,"Y"
"356","IDCJAC0002","040214",1916,"August",21,"Y"
"357","IDCJAC0002","040214",1916,"September",23,"Y"
"358","IDCJAC0002","040214",1916,"October",25.4,"Y"
"359","IDCJAC0002","040214",1916,"November",27.4,"Y"
"360","IDCJAC0002","040214",1916,"December",28.3,"Y"
"361","IDCJAC0002","040214",1917,"January",30.4,"Y"
"362","IDCJAC0002","040214",1917,"February",27.5,"Y"
"363","IDCJAC0002","040214",1917,"March",27.7,"Y"
"364","IDCJAC0002","040214",1917,"April",26.2,"Y"
"365","IDCJAC0002","040214",1917,"May",22.8,"Y"
"366","IDCJAC0002","040214",1917,"June",20.5,"Y"
"367","IDCJAC0002","040214",1917,"July",22.1,"Y"
"368","IDCJAC0002","040214",1917,"August",20.8,"Y"
"369","IDCJAC0002","040214",1917,"September",23.7,"Y"
"370","IDCJAC0002","040214",1917,"October",25.6,"Y"
"371","IDCJAC0002","040214",1917,"November",26.6,"Y"
"372","IDCJAC0002","040214",1917,"December",27.7,"Y"
"373","IDCJAC0002","040214",1918,"January",28,"Y"
"374","IDCJAC0002","040214",1918,"February",28.6,"Y"
"375","IDCJAC0002","040214",1918,"March",26,"Y"
"376","IDCJAC0002","040214",1918,"April",24.7,"Y"
"377","IDCJAC0002","040214",1918,"May",22.8,"Y"
"378","IDCJAC0002","040214",1918,"June",22.6,"Y"
"379","IDCJAC0002","040214",1918,"July",20.6,"Y"
"380","IDCJAC0002","040214",1918,"August",22.3,"Y"
"381","IDCJAC0002","040214",1918,"September",23.6,"Y"
"382","IDCJAC0002","040214",1918,"October",28.7,"Y"
"383","IDCJAC0002","040214",1918,"November",28.9,"Y"
"384","IDCJAC0002","040214",1918,"December",29.5,"Y"
"385","IDCJAC0002","040214",1919,"January",30.4,"Y"
"386","IDCJAC0002","040214",1919,"February",30.6,"Y"
"387","IDCJAC0002","040214",1919,"March",29.5,"Y"
"388","IDCJAC0002","040214",1919,"April",25.4,"Y"
"389","IDCJAC0002","040214",1919,"May",22.4,"Y"
"390","IDCJAC0002","040214",1919,"June",20.6,"Y"
"391","IDCJAC0002","040214",1919,"July",20.9,"Y"
"392","IDCJAC0002","040214",1919,"August",21.6,"Y"
"393","IDCJAC0002","040214",1919,"September",24.6,"Y"
"394","IDCJAC0002","040214",1919,"October",26.4,"Y"
"395","IDCJAC0002","040214",1919,"November",27.2,"Y"
"396","IDCJAC0002","040214",1919,"December",29.1,"Y"
"397","IDCJAC0002","040214",1920,"January",27.9,"Y"
"398","IDCJAC0002","040214",1920,"February",28.4,"Y"
"399","IDCJAC0002","040214",1920,"March",27.6,"Y"
"400","IDCJAC0002","040214",1920,"April",25.7,"Y"
"401","IDCJAC0002","040214",1920,"May",23,"Y"
"402","IDCJAC0002","040214",1920,"June",21,"Y"
"403","IDCJAC0002","040214",1920,"July",20.1,"Y"
"404","IDCJAC0002","040214",1920,"August",21,"Y"
"405","IDCJAC0002","040214",1920,"September",23.2,"Y"
"406","IDCJAC0002","040214",1920,"October",25.6,"Y"
"407","IDCJAC0002","040214",1920,"November",27.9,"Y"
"408","IDCJAC0002","040214",1920,"December",30.6,"Y"
"409","IDCJAC0002","040214",1921,"January",28,"Y"
"410","IDCJAC0002","040214",1921,"February",28.9,"Y"
"411","IDCJAC0002","040214",1921,"March",26.5,"Y"
"412","IDCJAC0002","040214",1921,"April",25.4,"Y"
"413","IDCJAC0002","040214",1921,"May",24,"Y"
"414","IDCJAC0002","040214",1921,"June",21.8,"Y"
"415","IDCJAC0002","040214",1921,"July",21.3,"Y"
"416","IDCJAC0002","040214",1921,"August",20,"Y"
"417","IDCJAC0002","040214",1921,"September",23.4,"Y"
"418","IDCJAC0002","040214",1921,"October",25,"Y"
"419","IDCJAC0002","040214",1921,"November",28.6,"Y"
"420","IDCJAC0002","040214",1921,"December",28.7,"Y"
"421","IDCJAC0002","040214",1922,"January",31,"Y"
"422","IDCJAC0002","040214",1922,"February",27.4,"Y"
"423","IDCJAC0002","040214",1922,"March",28.8,"Y"
"424","IDCJAC0002","040214",1922,"April",27.9,"Y"
"425","IDCJAC0002","040214",1922,"May",24,"Y"
"426","IDCJAC0002","040214",1922,"June",21.1,"Y"
"427","IDCJAC0002","040214",1922,"July",19.2,"Y"
"428","IDCJAC0002","040214",1922,"August",21.6,"Y"
"429","IDCJAC0002","040214",1922,"September",23.2,"Y"
"430","IDCJAC0002","040214",1922,"October",26.8,"Y"
"431","IDCJAC0002","040214",1922,"November",28.8,"Y"
"432","IDCJAC0002","040214",1922,"December",30,"Y"
"433","IDCJAC0002","040214",1923,"January",30.6,"Y"
"434","IDCJAC0002","040214",1923,"February",29.9,"Y"
"435","IDCJAC0002","040214",1923,"March",29.3,"Y"
"436","IDCJAC0002","040214",1923,"April",24.3,"Y"
"437","IDCJAC0002","040214",1923,"May",26,"Y"
"438","IDCJAC0002","040214",1923,"June",21.5,"Y"
